r,ae,UC,crenbl,lanl2,mdfstu,mwbstu,sbkjc,ECP,ECP2,ECP3,ECP5
1.3,0.18525755,0.18837829,,,0.18379526,0.18268057,0.19137235,0.18675668,0.18744824,0.1882854,0.18757149
1.4,0.02833705,0.0309434,,,0.0271945,0.02709723,0.03364341,0.02940047,0.03002635,0.03069401,0.03011312
1.5,-0.05931961,-0.05722231,-0.1030342,,-0.06021986,-0.05975765,-0.05499529,-0.05858345,-0.05801773,-0.0574936,-0.05792786
1.6,-0.1035792,-0.10194905,,,-0.10424768,-0.10353001,-0.10020659,-0.1030439,-0.10254249,-0.1021379,-0.10244565
1.7,-0.12147925,-0.12025793,,,-0.12192061,-0.12112303,-0.11893505,-0.12103777,-0.12058623,-0.12027272,-0.12048277
1.8,-0.1214615,-0.12095724,,,-0.12229925,-0.12135783,-0.12013248,-0.12152194,-0.12105355,-0.12079882,-0.12093233
1.9,-0.11359073,-0.11380516,,,-0.11437007,-0.1137446,-0.1131316,-0.11398013,-0.11368742,-0.11353206,-0.1136199
2.0,-0.10267119,-0.10344087,,,-0.10356366,-0.10305288,-0.1028635,-0.1033321,-0.10309882,-0.10299015,-0.10305205
2.1,-0.08962089,-0.09093962,,,-0.09073922,-0.09060043,-0.09061631,-0.09086579,-0.09037577,-0.09030509,-0.09034492
2.2,-0.07511622,-0.07679014,,,-0.07628254,-0.07588471,-0.07627703,-0.07841012,-0.07600755,-0.07596351,-0.0760036
